"É um curso sem entrar em muitos detalhes detalhes de estatística e programação básica, por isso consegue ser compacto. E é excelente nos exercícios práticos que aborda!"
"Curso excelente, professor domina a área. Para quem está chegando neste mundo de ciência de dados vale muito a pena este curso."
"O conteúdo é bom, mas o professor parece ter abandonado o curso, pois não responde as dúvidas dos alunos."
Gostei bastante do curso mas nas ultimas duas sessões achei que o instrutor poderia falar um pouco mais sobre o tema spark.
"Eu esperava a continuação da aula de big data, vai acontecer?"
"Na prática real, os conjuntos de dados tem muito mais problemas. Porém, o curso ajuda a entender o básico dos algoritmos. Já é uma orientação inicial."
"O curso tem muitos projetos, o que ajuda bastante a ter uma visão real da aplicação do conteúdo, e isso não é tão comum de encontrar em outros cursos, o que é muito bom Não se apega muito em conceitos teóricos, então é importante ter uma pequena bagagem conceitual em estatística básica, data science e algorítimos de machine learning para poder entender alguns exercícios Acredito que o único ponto um pouco negativo seria a dinâmica de ensino. Com um assunto tão complexo, as vezes é fácil se perder quando o professor constantemente fica parando a explicação para procurar os erros cometidos no código"
Excelente curso. Entregou o prometido. Recomendo.
"Atendeu minhas expectativas, porém o curso não está completo. Infelizmente."
Professor explica de maneira simples. Fácil de entender! Agora rever todos os vídeos e rafazer tudo com mais atenção!
Curso muito didático. Professor muito atualizado. Recomendo!!!
"Professor excelente, muito direto ao assunto e com muito conhecimento bom para iniciar usando as ferramentas. Obrigado"
"Explica bem, mas os conteúdos poderiam ser mais elaborados e várias vezes foca em coisas simples. Vale lembrar que o conteúdo não está completo. Já assistir todas as aulas e no final está faltando. Vamos ter compromisso e concluir o curso né ?"
É um bom curso. Não dou cinco estrelas porque o professor parou de dar suporte aos alunos e algumas coisas necessitam de adaptação por conta da evolução da linguagem e das bibliotecas utilizadas.
"Muito bom, as bibliotecas Numpy, Pandas e Matplotlib são sensacionais, pretendo ingressar na área de Data Science e recomendo este curso para as pessoas do mesmo objetivo!!"
"O curso é interessante, principalmente para quem não conhece nada sobre as bibliotecas do python para data science. Dá para ter uma noção inicial. Porém falta uma abordagem mais profunda sobre aspectos teóricos. Outra questão é o erro de português: o autor usa e abusa do gerúndio: ""podemos estar vendo....""....""podemos estar fazendo"".....etc."
"Curso com conteúdo faltante. Os métodos foram explicados de forma muito superficial. No entanto, o professor tem uma didática boa e o curso pode interessar quem deseja obter um conhecimento mais superficial e rápido sobre o tema."
Curso muito completo para o nível iniciante. Parabéns pelo trabalho!
Estou desapontado com o curso. Até as aulas do Pandas o curso estava indo bem. Porém quando chegou na parte de Machine Learning começou a não ir bem. O conteúdo foi passado de forma rápida e com poucas explicações. A última seção está incompleta. Além disso o curso foi abandonado pelo instrutor... não adianta fazer perguntas que não terá respostas dele.
"Tem o que procuro. Uma observação: A parte escrita atrapalha muito o acompanhamento da aula. Se ela puder ser mostrada em outro ponto, melhora muito!"
Parabéns pelo curso! Um dos melhores que eu fiz até o momento!
"Falta muita da parte teorica por trás dos métodos de análise, o que prejudica caso alguma situação da vida real seja diferente do que está nas aulas. O professor aparentemente abandonou o curso, já tenho faz alguns meses e aparentemente ele não responde mais ninguém na seção de perguntas e respostas."
Ele encerra o curso devendo as aulas sobre spark.
Deixou a desejar em algumas coisas mas ok
Faltaram as aulas sobre Spark. O curso acaba com a criação da conta na AWS.
"Curso extremamente prático e didático, focado em python e nas aplicações de data science e machine learning. Para mim que já conhecia o background matemático foi perfeito."
"Gostei muito do inicio, ofereceu conhecimento e material para o que busco, na parte de gráficos fiquei perdido, complexo. Sei que eu devo buscar mais. Para o que preciso foi muito bom."
"Bom conteudo, gostei da indicação do livro sobre ML, porem falta um conteúdo menos específico, ou seja, como aplicar os códigos de ML realmente em softwares e sistemas em que possamos realmente usar na prática. Por outro lado, a parte sobre Data Science é muito boa!"
Obrigado pelo o ensinamento achei excelente!
"Curso muito bom, muito didático. Claro que o aprendizado depende também do esforço do aluno em procurar as informações. Porém o curso direciona você para isso. Com certeza terá benefícios ao fazê-lo."
"O curso é bom, mas parece que faltam algumas aulas"
Falta algumas explicações para fazer os exercícios
Curso muito bom. Tópicos interessantes e explicações muito claras e objetivas.
"Por enquanto, está atendendo as expectativas. No entanto, para melhor avaliação, é necessário um maior desenvolvimento do conteúdo do curso."
"Sim, mas faltaram aulas de Big Data"
MUITO BOM! Didática objectiva e prática. Ansioso ainda pelas próximas aulas
O instrutor é didatico e vai direto ao ponto
"Sim, curso dinâmico. Material bom. Instrutor tem boa metodologia, segue uma ordem que torna fácil entender. Apenas acho que alguns módulos estão meio defasados nas aulas por já terem sido substituídos."
"O curso cumpriu o que se propôs a apresentar, sendo didático, rápido e bem pragmático. Porém, está incompleto. O último módulo ficou sem o projeto e as aulas de Spark."
O curso serve apenas como uma base para o assunto. Existem cursos e
O curso está incompleto. Parou de ser atualizado a 2 anos.
"Sim claro, estou aprendendo muito. Bastante curioso agora paras os próximos conteúdos"
Não está completo
Até agora estou gostando muito. Veremos a evolução!
Áudio perde qualidade em algumas aulas. Chiados e zumbidos ocorrem frequentemente.
"Muito bom o curso, faltou a parte final, onde fala da aula de spark, parece que foi retirada do curso."
Um ótimo ponta-pé inicial para data science e python!
"Muito bacana o curso, mas achei as explicações um pouco superficiais. Algumas perguntas de exercícios não foram explicadas."
"Uma copia (tradução) razoável do curso ""Python for Data Science and Machine Learning Bootcamp"" do Jose Portilla que ainda não contempla o material original completo."
"Na ultima seção, faltam algumas aulas, mas do restante é bom o curso."
O curso é muito bom!! o professor explica passo a passo de forma que até mesmo uma pessoa totalmente leiga no assunto consegue entender!
"Professor não explica bem como funciona determinadas funções, apenas ensina a usar"
O curso é abandonado do nada! Último módulo incompleto e sem um final adequado
A metodologia não combina comigo pois eu gosta mais de começar a estudar pelos exemplos.
Conteúdo cobriu tudo que precisava saber sobre ML
"Professor domina o conteúdo do curso, mas senti falta de uma explicação sobre estatística que tem apenas no material de apoio. Explica muito bem sobre os métodos de machine learning, mas com o curso você não aprende qual o melhor algoritmo para cada caso real. O curso acaba sendo um overview introdutório."
por enquanto tudo bem
